timestamp,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,date,year,month,hour,day_of_week,is_weekend,z_score,is_anomaly,hour_mean,hour_std,z_score_by_hour,is_anomaly_v2
2006-12-16 17:00:00,4.222888888888889,0.2289999999999999,234.6438888888889,18.1,0.0,19.0,607.0,2006-12-16,2006,12,17,Saturday,True,3.4882963100864424,True,1.0561635686832413,0.8941724479582757,3.541515204853879,True
2006-12-16 18:00:00,3.6322,0.0800333333333333,234.58016666666663,15.6,0.0,403.0,1012.0,2006-12-16,2006,12,18,Saturday,True,2.8302344436291,True,1.3264331833775347,1.0287838538947165,2.2412548640741328,False
2006-12-16 19:00:00,3.400233333333333,0.0852333333333333,233.2325,14.503333333333334,0.0,86.0,1001.0,2006-12-16,2006,12,19,Saturday,True,2.5718100505282018,True,1.733428007580264,1.1137448925789688,1.4965773013723482,False
2006-12-16 20:00:00,3.2685666666666666,0.0751,234.0715,13.916666666666666,0.0,0.0,1007.0,2006-12-16,2006,12,20,Saturday,True,2.4251257061182945,False,1.8990729520883258,1.1339209495591893,1.2077506065222008,False
2006-12-16 21:00:00,3.0564666666666667,0.0766666666666666,237.15866666666668,13.046666666666663,0.0,25.0,1033.0,2006-12-16,2006,12,21,Saturday,True,2.188833938148613,False,1.8760631202588185,1.0719376070827178,1.1011868028590963,False
2006-12-16 22:00:00,2.200133333333333,0.0561666666666666,238.76,9.523333333333332,0.0,8.0,266.0,2006-12-16,2006,12,22,Saturday,True,1.2348286703282265,False,1.412681081503886,0.8683692239471702,0.9068173193081219,False
2006-12-16 23:00:00,2.0616,0.0714333333333333,240.61966666666663,8.896666666666667,0.0,5.0,0.0,2006-12-16,2006,12,23,Saturday,True,1.0804944588427645,False,0.9021416082281439,0.7319792072975052,1.5840045457747631,False
2006-12-17 00:00:00,1.8824666666666665,0.1024333333333333,240.9618333333333,8.126666666666667,0.0,28.0,0.0,2006-12-17,2006,12,0,Sunday,True,0.8809294798911587,False,0.6595621051225539,0.6178236612382839,1.9793747605798795,False
2006-12-17 01:00:00,3.3494,0.1369333333333333,240.44833333333327,14.246666666666666,0.0,1514.0,0.0,2006-12-17,2006,12,1,Sunday,True,2.515178753002858,True,0.5393251638576778,0.5010985890320718,5.607828275011305,True
2006-12-17 02:00:00,1.5872666666666668,0.0782333333333333,245.81866666666667,6.87,0.0,34.0,0.0,2006-12-17,2006,12,2,Sunday,True,0.5520594661964398,False,0.4806184524376309,0.41030407418230336,2.697141666054571,True
